>eye position = 1500.00, 1200.00, 8000.00
>look at = 1500.00, 1200.00, 0.00
>up = 0.00, 1.00, 0.00

compute rack 0; -0.50, 900.00, 600.00; 599.00, 1800.00, 1200.00; 62.799429619838094; 0.28, 0.68, 0.68; 0.30, 0.30, 1.00; 10; 0
  computer 0,0; 0.82, -441.80, 0.00; 659.68, 49.39, 631.61; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 0,1; 0.82, -343.01, 0.00; 659.68, 49.39, 631.61; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 0,2; 0.82, -244.22, 0.00; 659.68, 49.39, 631.61; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 0,3; 0.82, -145.44, 0.00; 659.68, 49.39, 631.61; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 0,4; 0.82, -46.65, 0.00; 659.68, 49.39, 631.61; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 0,5; 0.82, 52.14, 0.00; 659.68, 49.39, 631.61; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 0,6; 0.82, 150.93, 0.00; 659.68, 49.39, 631.61; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 0,7; 0.82, 249.71, 0.00; 659.68, 49.39, 631.61; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 0,8; 0.82, 348.50, -0.00; 659.68, 49.39, 631.61; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 0,9; 0.82, 447.29, 0.00; 659.68, 49.39, 631.61; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
compute rack 1; 599.50, 900.00, 600.00; 599.00, 1800.00, 1200.00; 0; 0.00, 1.00, 0.00; 0.30, 0.30, 1.00; 10; 0
  computer 1,0; 0.50, -805.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 1,1; 0.50, -625.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 1,2; 0.50, -445.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 1,3; 0.50, -265.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 1,4; 0.50, -85.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 1,5; 0.50, 95.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 1,6; 0.50, 275.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 1,7; 0.50, 455.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 1,8; 0.50, 635.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 1,9; 0.50, 815.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
compute rack 2; 1199.50, 900.00, 600.00; 599.00, 1800.00, 1200.00; 0; 0.00, 1.00, 0.00; 0.30, 0.30, 1.00; 10; 0
  computer 2,0; 0.50, -805.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 2,1; 0.50, -625.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 2,2; 0.50, -445.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 2,3; 0.50, -265.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 2,4; 0.50, -85.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 2,5; 0.50, 95.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 2,6; 0.50, 275.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 2,7; 0.50, 455.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 2,8; 0.50, 635.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 2,9; 0.50, 815.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
compute rack 3; 1799.50, 900.00, 600.00; 599.00, 1800.00, 1200.00; 0; 0.00, 1.00, 0.00; 0.30, 0.30, 1.00; 10; 0
  computer 3,0; 0.50, -805.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 3,1; 0.50, -625.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 3,2; 0.50, -445.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 3,3; 0.50, -265.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 3,4; 0.50, -85.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 3,5; 0.50, 95.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 3,6; 0.50, 275.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 3,7; 0.50, 455.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 3,8; 0.50, 635.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
  computer 3,9; 0.50, 815.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
compute rack 4; 2399.50, 900.00, 600.00; 599.00, 1800.00, 1200.00; 0; 0.00, 1.00, 0.00; 0.30, 0.30, 1.00; 10; 0
  computer 4,0; 0.50, -805.00, -0.00; 400.00, 90.00, 1000.00; 0; 0.00, 1.00, 0.00; 1.00, 0.50, 0.00; 10; 0
